	tid	plattform	hyppighet	mange_videoer_proc	mange_i_snitt_proc	tidseffektivt_proc	laeringsutbytte_proc	engasjerende_proc	andre_ressurser_proc	mange_i_snitt_animert_proc	tidseffektivt_animert_proc	laeringsutbytte_animert_proc	engasjerende_animert_proc	q1_proc	q2_proc	q3_proc	q4_proc	q5_proc	mange_videoer_virt	mange_i_snitt_virt	tidseffektivt_virt	laeringsutbytte_virt	engasjerende_virt	andre_ressurser_virt	mange_i_snitt_animert_virt	tidseffektivt_animert_virt	laeringsutbytte_animert_virt	engasjerende_animert_virt	q1_virt	q2_virt	q3_virt	q4_virt	q5_virt
49	6:40	1,2,4	3	2	2	3	3	3	0,1,4,5	0	0	0	0	3	0	1	3	3	2	2	3	3	3	0,1,4,5	0	0	0	0	3	1	0	1	2
50	11:45	4	5	2	1	1	3	1	0	1	5	5	5	0	0	1	3	3	1	1	3	3	1	0	1	4	4	5	0	2	2	3	1
51	11:30	0,4	3	3	1	3	3	3	0,5	2	3	3	3	2	0	1	0	0	3	1	3	3	3	4,5	1	3	3	2	1	2	2	0	2
52	5:00	1,4	3	1	1	3	2	3	3,5	0	4	2	3	-	0	-	3	-	0	0	0	0	0	3,4,5	0	0	0	0	2	-	1	1	-
53	5:00	0	2	1	2	4	3	4	5	2	4	3	3	2	0	3	3	1	1	1	4	3	3	0,5	0	0	0	0	0	1	2	1	2
54	5:00	1,2,3,4	3	3	1	3	3	3	0,3,4,5,6	0	0	0	0	-	0	1	3	-	0	0	0	0	0	4	0	0	0	0	-	-	-	-	-
55	5:00	4	5	3	1	3	2	1	5	1	0	0	0	0	0	3	2	2	4	1	1	2	1	5	0	0	0	0	0	2	3	0	2
56	4:36	4	1	0	0	0	0	0	4,6	1	1	1	1	0	0	1	0	0	1	1	3	2	1	0,4	1	1	2	2	0,3	1	2	1	0
57	7:40	0,1,4	5	3	1	5	4	2	0,5	0	0	0	0	2	0	1	3	0	1	1	5	3	2	0,5	0	0	0	0	0	1	0	-	-
58	9:40	1,4	3	2	1	3	3	2	2,3,4,5	4	1	1	1	2	0	1	3	2,3	2	2	3	3	3	2,3,4,5	3	2	2	2	0	2	3	0	2
59	8:30	0,1,2	1	0	0	0	0	0	0,4,5,6	0	0	0	0	-	0	-	0	0	0	0	0	0	0	0,5,6	0	0	0	0	0	2	2	1	1
60	8:30	0,1,4	3	2	1	5	4	4	3	2	5	3	3	2	0	-	3	-	4	1	4	4	-	3	2	4	3	3	-	-	3	3	-
61	8:30	0,1,3,4	2,3	1	1	3	2	2	0,3	1	3	3	3	1	-	1	3	3	0	0	0	0	0	0,3	0	0	0	0	0	1	3	0	0
62	8:00	1,2,4	1	2	2	2	3	1	0,3,4,5,6	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0,4,5,6	0	0	0	0	2	2	1	0	0
63	7:40	0,1,4	2	2	1	4	2	2	0,2,3,4,5,6	0	0	0	0	0	3	1	2	0	2	2	4	3	2	0,2,3,4,5,6	4	3	4	4	0	-	1	1	2
64	7:40	0,1	1	1	1	1	1	1	0,3,4,5	1	4	3	4	2	0	1	3	3	0	0	0	0	0	0,3,5	0	0	0	0	3	2	2	3	1
65	8:00	1,2,4	1	2	1	1	2	1	3,4,5,6	2	5	5	5	0	1	1	1	0,1	0	0	0	0	0	3,4,5	0	0	0	0	1	1	1	1	2
66	7:10	0,1,2	4	2	1	2	2	2	5,6	1	4	3	3	1	0	-	3	-	0	0	0	0	0	4,5,6	0	0	0	0	-	-	-	-	-
